ObjectID,Name,OriginID,DestinationID,DestinationRank,Total_长度
150,四平市 - 恩施土家族苗族自治州,48,355,19,3662.870114165377800
151,四平市 - 曲靖市,48,261,20,3829.199798825558901
152,四平市 - 贺州市,48,211,21,3899.403317334080839
153,四平市 - 拉萨市,48,364,22,4587.029062286323096
154,辽源市 - 辽源市,49,49,1,0.000000000000000
155,通化市 - 通化市,50,50,1,0.000000000000000
156,白山市 - 白山市,51,51,1,0.000000000000000
157,松原市 - 松原市,52,52,1,0.000000000000000
158,白城市 - 白城市,53,53,1,0.000000000000000
159,延边朝鲜族自治州 - 延边朝鲜族自治州,54,54,1,0.000000000000000
160,哈尔滨市 - 哈尔滨市,55,55,1,0.000000000000000
161,齐齐哈尔市 - 齐齐哈尔市,56,56,1,0.000000000000000
162,鸡西市 - 鸡西市,57,57,1,0.000000000000000
163,鹤岗市 - 鹤岗市,58,58,1,0.000000000000000
164,双鸭山市 - 双鸭山市,59,59,1,0.000000000000000
165,大庆市 - 大庆市,60,60,1,0.000000000000000
166,伊春市 - 伊春市,61,61,1,0.000000000000000
167,佳木斯市 - 佳木斯市,62,62,1,0.000000000000000
168,七台河市 - 七台河市,63,63,1,0.000000000000000
169,牡丹江市 - 牡丹江市,64,64,1,0.000000000000000
170,绥化市 - 绥化市,65,65,1,0.000000000000000
171,大兴安岭地区 - 大兴安岭地区,66,66,1,0.000000000000000
172,上海市 - 上海市,67,67,1,0.000000000000000
173,南京市 - 南京市,68,68,1,0.000000000000000
174,徐州市 - 徐州市,69,69,1,0.000000000000000
175,常州市 - 常州市,70,70,1,0.000000000000000
176,苏州市 - 苏州市,71,71,1,0.000000000000000
177,南通市 - 南通市,72,72,1,0.000000000000000
178,连云港市 - 连云港市,73,73,1,0.000000000000000
179,淮安市 - 淮安市,74,74,1,0.000000000000000
180,盐城市 - 盐城市,75,75,1,0.000000000000000
181,扬州市 - 扬州市,76,76,1,0.000000000000000
182,镇江市 - 镇江市,77,77,1,0.000000000000000
183,宿迁市 - 宿迁市,78,78,1,0.000000000000000
184,杭州市 - 杭州市,79,79,1,0.000000000000000
185,宁波市 - 宁波市,80,80,1,0.000000000000000
186,温州市 - 温州市,81,81,1,0.000000000000000
187,湖州市 - 湖州市,82,82,1,0.000000000000000
188,绍兴市 - 绍兴市,83,83,1,0.000000000000000
189,金华市 - 金华市,84,84,1,0.000000000000000
190,衢州市 - 衢州市,85,85,1,0.000000000000000
191,舟山市 - 舟山市,86,86,1,0.000000000000000
192,台州市 - 台州市,87,87,1,0.000000000000000
193,丽水市 - 丽水市,88,88,1,0.000000000000000
194,合肥市 - 合肥市,89,89,1,0.000000000000000
195,芜湖市 - 芜湖市,90,90,1,0.000000000000000
196,蚌埠市 - 蚌埠市,91,91,1,0.000000000000000
197,淮南市 - 淮南市,92,92,1,0.000000000000000
198,马鞍山市 - 马鞍山市,93,93,1,0.000000000000000
199,淮北市 - 淮北市,94,94,1,0.000000000000000
200,铜陵市 - 铜陵市,95,95,1,0.000000000000000
201,安庆市 - 安庆市,96,96,1,0.000000000000000
202,黄山市 - 黄山市,97,97,1,0.000000000000000
203,滁州市 - 滁州市,98,98,1,0.000000000000000
204,阜阳市 - 阜阳市,99,99,1,0.000000000000000
205,宿州市 - 宿州市,100,100,1,0.000000000000000
206,亳州市 - 亳州市,101,101,1,0.000000000000000
207,池州市 - 池州市,102,102,1,0.000000000000000
208,宣城市 - 宣城市,103,103,1,0.000000000000000
209,福州市 - 福州市,104,104,1,0.000000000000000
210,厦门市 - 厦门市,105,105,1,0.000000000000000
211,莆田市 - 莆田市,106,106,1,0.000000000000000
212,三明市 - 三明市,107,107,1,0.000000000000000
213,泉州市 - 泉州市,108,108,1,0.000000000000000
214,漳州市 - 漳州市,109,109,1,0.000000000000000
215,南平市 - 南平市,110,110,1,0.000000000000000
216,龙岩市 - 龙岩市,111,111,1,0.000000000000000
217,龙岩市 - 郴州市,111,177,2,972.710925181826610
218,龙岩市 - 萍乡市,111,351,3,1340.973330485403494
219,龙岩市 - 上饶市,111,121,4,1799.198340665330988
220,龙岩市 - 商洛市,111,291,5,2031.631688952853210
